epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.818,1.06042,1.61566,1.33725,0.96894,0.93333,0.99125,0.84729,0.62271,1.88285,0.97762,0.000648148,0.000648148,0.000648148
2,357.355,0.99896,1.0876,1.23964,0.96731,1,0.995,0.85765,0.63307,0.99403,1.0192,0.00124973,0.00124973,0.00124973
3,531.028,0.98895,0.95888,1.23877,0.81441,1,0.95642,0.75423,0.60138,1.69543,1.07837,0.00178531,0.00178531,0.00178531
4,705.916,0.97765,0.87098,1.21948,0.99688,1,0.995,0.8883,0.49631,0.78493,0.94284,0.001703,0.001703,0.001703
5,878.679,0.87752,0.72751,1.16727,0.99641,1,0.995,0.89822,0.42874,0.55719,0.89437,0.001604,0.001604,0.001604
6,1052.03,0.90052,0.67463,1.16302,0.98893,1,0.995,0.92688,0.37279,0.48899,0.86245,0.001505,0.001505,0.001505
7,1225.36,0.86202,0.62284,1.13916,0.99731,1,0.995,0.92618,0.36029,0.42498,0.87313,0.001406,0.001406,0.001406
8,1398.54,0.88127,0.60981,1.15138,0.99761,1,0.995,0.84821,0.65962,0.44128,1.02468,0.001307,0.001307,0.001307
9,1574.84,0.78222,0.55574,1.11857,0.9972,1,0.995,0.93305,0.33604,0.40185,0.84449,0.001208,0.001208,0.001208
10,1747.36,0.7982,0.54194,1.10762,0.99801,1,0.995,0.96516,0.29811,0.31314,0.84312,0.001109,0.001109,0.001109
11,1919.18,0.72526,0.5425,1.12263,0.99605,1,0.995,0.92013,0.42064,0.45344,0.88906,0.00101,0.00101,0.00101
12,2090.51,0.742,0.5097,1.14334,0.99698,1,0.995,0.91259,0.44053,0.34006,0.96702,0.000911,0.000911,0.000911
13,2262.65,0.69133,0.46154,1.09332,0.99822,1,0.995,0.9652,0.2865,0.29681,0.83634,0.000812,0.000812,0.000812
14,2433.61,0.65417,0.41626,1.06183,0.99823,1,0.995,0.97693,0.31757,0.28708,0.84428,0.000713,0.000713,0.000713
15,2606.58,0.63481,0.39468,1.03438,0.99812,1,0.995,0.97149,0.30799,0.26962,0.84902,0.000614,0.000614,0.000614
16,2779.35,0.6159,0.3758,1.04099,0.99807,1,0.995,0.98595,0.22918,0.2323,0.81044,0.000515,0.000515,0.000515
17,2958.21,0.58325,0.35045,1.01779,0.99822,1,0.995,0.995,0.19618,0.17896,0.80827,0.000416,0.000416,0.000416
18,3139.3,0.54788,0.33666,0.99686,0.99822,1,0.995,0.995,0.1839,0.19067,0.8015,0.000317,0.000317,0.000317
19,3353.69,0.52025,0.31962,0.98474,0.9983,1,0.995,0.995,0.16419,0.17227,0.79631,0.000218,0.000218,0.000218
20,3536.66,0.50589,0.30645,0.97487,0.99829,1,0.995,0.995,0.15582,0.15827,0.79512,0.000119,0.000119,0.000119
